matrix_sha256	row_id	disposition	harbor_rule	replacement_owner	destination_paths	source_basis	license_treatment	evidence_refs	result
e6bae987ffc0c6bbc5fad384a3eab858cc287b1e482ad188379d762e2aaad87d	ADP-EVT-001	rewrite	REWRITE-NO-COPY	P30 typed E4 event adapter (bb-89n.11 through bb-89n.13)	PENDING:bb-89n.16-final-product-record	PENDING:assigned owner must apply accepted bb-89n.6 REWRITE-NO-COPY rule without P24 source ancestry	PENDING:bb-89n.16-final-product-record	PENDING:assigned-owner-supplied	PENDING
e6bae987ffc0c6bbc5fad384a3eab858cc287b1e482ad188379d762e2aaad87d	ADP-EVT-002	discard	DISCARD-NO-HARBOR	P30 typed E4 event adapter (bb-89n.11 through bb-89n.13)	PENDING:bb-89n.16-final-product-record	PENDING:assigned owner must apply accepted bb-89n.6 DISCARD-NO-HARBOR rule without P24 source ancestry	PENDING:bb-89n.16-final-product-record	PENDING:assigned-owner-supplied	PENDING
e6bae987ffc0c6bbc5fad384a3eab858cc287b1e482ad188379d762e2aaad87d	ADP-EVT-003	discard	DISCARD-NO-HARBOR	P30 typed E4 event adapter (bb-89n.11 through bb-89n.13)	PENDING:bb-89n.16-final-product-record	PENDING:assigned owner must apply accepted bb-89n.6 DISCARD-NO-HARBOR rule without P24 source ancestry	PENDING:bb-89n.16-final-product-record	PENDING:assigned-owner-supplied	PENDING
e6bae987ffc0c6bbc5fad384a3eab858cc287b1e482ad188379d762e2aaad87d	ADP-EVT-004	discard	DISCARD-NO-HARBOR	P30 typed E4 event adapter (bb-89n.11 through bb-89n.13)	PENDING:bb-89n.16-final-product-record	PENDING:assigned owner must apply accepted bb-89n.6 DISCARD-NO-HARBOR rule without P24 source ancestry	PENDING:bb-89n.16-final-product-record	PENDING:assigned-owner-supplied	PENDING
e6bae987ffc0c6bbc5fad384a3eab858cc287b1e482ad188379d762e2aaad87d	ADP-FAC-001	discard	DISCARD-NO-HARBOR	P30 canonical E4 client runtime (bb-89n.13)	PENDING:bb-89n.16-final-product-record	PENDING:assigned owner must apply accepted bb-89n.6 DISCARD-NO-HARBOR rule without P24 source ancestry	PENDING:bb-89n.16-final-product-record	PENDING:assigned-owner-supplied	PENDING
e6bae987ffc0c6bbc5fad384a3eab858cc287b1e482ad188379d762e2aaad87d	ADP-FAC-002	discard	DISCARD-NO-HARBOR	P30 canonical E4 client runtime (bb-89n.13)	PENDING:bb-89n.16-final-product-record	PENDING:assigned owner must apply accepted bb-89n.6 DISCARD-NO-HARBOR rule without P24 source ancestry	PENDING:bb-89n.16-final-product-record	PENDING:assigned-owner-supplied	PENDING
e6bae987ffc0c6bbc5fad384a3eab858cc287b1e482ad188379d762e2aaad87d	ADP-FAC-003	discard	DISCARD-NO-HARBOR	P30 canonical E4 client runtime (bb-89n.13)	PENDING:bb-89n.16-final-product-record	PENDING:assigned owner must apply accepted bb-89n.6 DISCARD-NO-HARBOR rule without P24 source ancestry	PENDING:bb-89n.16-final-product-record	PENDING:assigned-owner-supplied	PENDING
e6bae987ffc0c6bbc5fad384a3eab858cc287b1e482ad188379d762e2aaad87d	ADP-FAC-004	discard	DISCARD-NO-HARBOR	P30 canonical E4 client runtime (bb-89n.13)	PENDING:bb-89n.16-final-product-record	PENDING:assigned owner must apply accepted bb-89n.6 DISCARD-NO-HARBOR rule without P24 source ancestry	PENDING:bb-89n.16-final-product-record	PENDING:assigned-owner-supplied	PENDING
e6bae987ffc0c6bbc5fad384a3eab858cc287b1e482ad188379d762e2aaad87d	ADP-FAC-005	discard	DISCARD-NO-HARBOR	P30 canonical E4 client runtime (bb-89n.13)	PENDING:bb-89n.16-final-product-record	PENDING:assigned owner must apply accepted bb-89n.6 DISCARD-NO-HARBOR rule without P24 source ancestry	PENDING:bb-89n.16-final-product-record	PENDING:assigned-owner-supplied	PENDING
e6bae987ffc0c6bbc5fad384a3eab858cc287b1e482ad188379d762e2aaad87d	ADP-FAC-006	discard	DISCARD-NO-HARBOR	P30 canonical E4 client runtime (bb-89n.13)	PENDING:bb-89n.16-final-product-record	PENDING:assigned owner must apply accepted bb-89n.6 DISCARD-NO-HARBOR rule without P24 source ancestry	PENDING:bb-89n.16-final-product-record	PENDING:assigned-owner-supplied	PENDING
