gap_id,current_status,ct_coverage,primary_checker,remaining_closure_delta
G-001,covered,CT-PROTO-001;CT-PROTO-002;CT-PROTO-003;CT-PROTO-004;CT-PROJ-001;CT-PROJ-002;CT-PROJ-004,check_protocol_semantics.py;check_projection_semantics.py,
G-002,covered,CT-PROJ-003;CT-PROJ-012;CT-PROJ-013;CT-PROJ-018;CT-PROJ-021,check_projection_overlay_semantics.py (revision-overlay semantic checks across live families A/B/C/D/E),
G-003,covered,CT-TOOL-001;CT-TOOL-002;CT-TOOL-003;CT-TOOL-004;CT-TOOL-005;CT-TOOL-006;CT-TOOL-007;CT-TOOL-008;CT-TOOL-009;CT-TOOL-010;CT-TOOL-011;CT-TOOL-012;CT-TOOL-013;CT-TOOL-014;CT-TOOL-015,check_tool_transition_semantics.py;check_tool_policy_semantics.py (runtime_transition_matrix + runtime_error_taxonomy + runtime_correction_loop_coupling),
G-004,covered,CT-TOOL-001;CT-TOOL-003;CT-TOOL-004;CT-TOOL-005,bb.tool_call/result/transition schemas + tool checker lanes,
G-005,covered,CT-APPROVAL-001;CT-APPROVAL-002;CT-APPROVAL-003;CT-APPROVAL-004;CT-APPROVAL-005,check_approval_semantics.py,
G-006,covered,CT-SESSION-001;CT-SESSION-002;CT-SESSION-003;CT-SESSION-004;CT-SESSION-005,check_session_semantics.py;check_replay_placeholder_semantics.py,
G-007,covered,CT-SESSION-005,check_rollback_semantics.py,
G-008,covered,CT-REL-001;CT-REL-002;CT-REL-003;CT-REL-004;ct_scenarios_v1,run_conformance_matrix.py,
G-009,covered,CT-REL-002,check_replay_determinism_gate.py,
G-010,covered,CT-REL-001;CT-REL-003;CT-REL-004,check_reliability_lanes.py + check_phase5_reliability_flake_budget.py,
G-011,covered,CT-PROVIDER-001;CT-PROVIDER-002;CT-PROVIDER-003;CT-PROVIDER-004;CT-PROVIDER-005,check_provider_semantics.py + provider_resolution emission in main/fallback/subcall/batch-subcall paths,
G-012,covered,CT-PROVIDER-002,auth descriptor schema + provider checker lanes,
G-013,covered,CT-PLAN-001,check_plan_envelope_semantics.py,
G-014,covered,CT-SESSION-001;CT-SESSION-002;CT-SESSION-004 + portability fixtures,session/parity fixtures and replay lanes,
G-015,covered,CT-EXT-001;CT-EXT-002;CT-EXT-003;CT-EXT-004,check_extension_semantics.py;check_plugin_discovery_semantics.py;check_surface_manifest_semantics.py,
G-016,covered,CT-APPROVAL-003;CT-APPROVAL-004;CT-EXT-007,check_approval_semantics.py;check_extension_audit_stream_semantics.py,
G-017,covered,CT-EXT-002;CT-EXT-003;CT-EXT-008;CT-EXT-009;CT-EXT-010;CT-EXT-011;CT-EXT-013,check_extension_semantics.py (dependency_order + runtime_hook_execution across live families A/B/C/D/E),
G-018,covered,CT-SESSION-004;CT-SESSION-006;CT-SESSION-007;CT-SESSION-008,session_conflict_runtime.py;check_session_semantics.py (task_scope_isolation across live families A/B),
G-019,covered,CT-EXT-005;CT-EXT-006;CT-EXT-012;CT-EXT-014,check_extension_audit_stream_semantics.py (lifecycle_audit_stream + lifecycle_branch_coverage with install/update/uninstall/install_retry/update_retry/reinstall/conflict/reinstall_failure across live families A/B/C),
G-020,covered,CT-PROJ-007;CT-PROJ-010;CT-PROJ-011;CT-PROJ-014;CT-PROJ-015;CT-PROJ-019,projection parity bundle + strict surface-manifest checks + live projection-surface runtime stress bundles (families A/B/C/D),
G-021,covered,CT-RECURSE-006,check_longrun_semantics.py --mode queue_ordering_visibility,
G-022,covered,CT-PROVIDER-003;CT-PROVIDER-006,check_provider_semantics.py + parse_rate_limit_headers capped retry-after policy + explicit reset-ms key support + retry-after-ms precedence + x-ratelimit-retry-after alias + x-ratelimit-retry-after-ms fallback + HTTP-date/asctime/ISO-8601 edge fixtures + live header-drift lane,
G-023,covered,CT-PROTO-006;CT-PROTO-008;CT-PROTO-009;CT-PROTO-012;CT-PROTO-013;CT-PROJ-001;CT-PROJ-004;CT-PROJ-006;CT-SESSION-004;CT-SESSION-006,check_protocol_semantics.py --mode session_stream_isolation + required reconnect/fork event types + required event-type count bounds + single-session/single-stream max bounds + cursor-step storm bound checks + session/pty runtime checks,
G-024,covered,CT-RECURSE-001;CT-RECURSE-002;CT-RECURSE-003;CT-RECURSE-004;CT-RECURSE-005;CT-RECURSE-006;CT-RECURSE-008,check_longrun_semantics.py + policy_boundary_matrix semantic checker,
G-025,covered,CT-RECURSE-001;CT-RECURSE-002;CT-RECURSE-003;CT-RECURSE-004;CT-RECURSE-007;CT-RECURSE-008;CT-RECURSE-010;CT-RECURSE-011;CT-RECURSE-012,check_longrun_semantics.py + global_token_budget_stop + global_subcall_budget_stop + subcall_budget_resume_precheck + policy_boundary_matrix(provider-error branch) + provider_coupled_budget_trace semantic checkers,
G-026,covered,CT-RECURSE-006;CT-RECURSE-009;CT-RECURSE-013;CT-RECURSE-014;CT-RECURSE-015;CT-RECURSE-016,long-run/delegation lanes + queue_ordering_visibility + queue_pause_resume_durability + queue_multi_resume_durability + queue_multi_resume_persisted_backend + queue_backend_trace_coherence semantic checkers (generated + external trace bundles),
G-027,covered,CT-PROJ-001;CT-PROJ-004;CT-PROJ-006;CT-PROJ-008;CT-PROJ-009;CT-PROJ-016;CT-PROJ-017;CT-PROJ-020,check_projection_semantics.py (reconnect_gap_coalescing now enforces batch-size/gap-distance bounds plus multi-gap controlled-reorder semantics across live families A/B/C/D/E),
G-028,covered,CT-RECURSE-004;CT-RECURSE-005,long-run rollback/bounded recovery lanes + convergence_stage_bounded semantic checker,
G-029,covered,CT-REL-001;CT-REL-003;CT-REL-004,schema package + validators,
G-030,covered,CT-REL-005,scripts/check_docs_sample_ladder_semantics.py,
G-031,covered,projection parity bundle + strict manifest constraints + contract-version coherence checks + CT-PROJ-005 + CT-PROJ-007 + CT-PROJ-010 + CT-PROJ-011 + CT-PROJ-014 + CT-PROJ-015 + CT-PROJ-019,check_projection_surface_parity_bundle.py + projection surface manifest + surface parity reporters + check_event_envelope_snapshots.py,
G-032,covered,CT-PROTO-005;CT-PROTO-006;CT-PROTO-007;CT-PROTO-010;CT-PROTO-011;CT-PROTO-014;CT-PROTO-015;CT-PROTO-016,check_protocol_semantics.py --mode status_error_taxonomy/session_stream_isolation/operator_diagnostics_pack + runtime/checker artifacts,
